listening on :8013 mode=msg conns=2
HOST-M conn#2 seq=15 t_rel= 0.210019s gust_tus=220565335
HOST-M conn#2 seq=16 t_rel= 0.239959s gust_tus=220595244
HOST-M conn#2 seq=17 t_rel= 0.239959s gust_tus=220595280
HOST-M conn#2 seq=18 t_rel= 0.270011s gust_tus=220625311
HOST-M conn#2 seq=19 t_rel= 0.270011s gust_tus=220625344
HOST-M conn#2 seq=20 t_rel= 0.299854s gust_tus=220655226
HOST-M conn#2 seq=21 t_rel= 0.299854s gust_tus=220655262
HOST-M conn#2 seq=22 t_rel= 0.330248s gust_tus=220685510
HOST-M conn#2 seq=23 t_rel= 0.330248s gust_tus=220685546
HOST-M conn#2 seq=24 t_rel= 0.359856s gust_tus=220715217
HOST-M conn#2 seq=25 t_rel= 0.359856s gust_tus=220715253
HOST-M conn#2 seq=26 t_rel= 0.390279s gust_tus=220745576
HOST-M conn#2 seq=27 t_rel= 0.390279s gust_tus=220745602
HOST-M conn#2 seq=28 t_rel= 0.420010s gust_tus=220775314
HOST-M conn#2 seq=29 t_rel= 0.420010s gust_tus=220775366
HOST-M conn#2 seq=30 t_rel= 0.449994s gust_tus=220805266
HOST-M conn#2 seq=31 t_rel= 0.449994s gust_tus=220805315
HOST-M conn#2 seq=32 t_rel= 0.480343s gust_tus=220835600
HOST-M conn#2 seq=33 t_rel= 0.480343s gust_tus=220835652
HOST-M conn#2 seq=34 t_rel= 0.510216s gust_tus=220865512
HOST-M conn#2 seq=35 t_rel= 0.510216s gust_tus=220865549
HOST-M conn#2 seq=36 t_rel= 0.540033s gust_tus=220895286
HOST-M conn#2 seq=37 t_rel= 0.540033s gust_tus=220895337
HOST-M conn#2 seq=38 t_rel= 0.570007s gust_tus=220925349
HOST-M conn#2 seq=39 t_rel= 0.570007s gust_tus=220925401
HOST-M conn#2 seq=40 t_rel= 0.600133s gust_tus=220955374
HOST-M conn#2 seq=41 t_rel= 0.600133s gust_tus=220955423
HOST-M conn#2 seq=42 t_rel= 0.630042s gust_tus=220985278
HOST-M conn#2 seq=43 t_rel= 0.630042s gust_tus=220985330
HOST-M conn#2 seq=44 t_rel= 0.660081s gust_tus=221015323
HOST-M conn#2 seq=45 t_rel= 0.660081s gust_tus=221015375
HOST-M conn#2 seq=46 t_rel= 0.689959s gust_tus=221045254
HOST-M conn#2 seq=47 t_rel= 0.689959s gust_tus=221045299
HOST-M conn#2 seq=48 t_rel= 0.720024s gust_tus=221075270
HOST-M conn#2 seq=49 t_rel= 0.720024s gust_tus=221075322
HOST-M conn#2 seq=50 t_rel= 0.750073s gust_tus=221105322
HOST-M conn#2 seq=51 t_rel= 0.750073s gust_tus=221105375
HOST-M conn#2 seq=52 t_rel= 0.779945s gust_tus=221135240
HOST-M conn#2 seq=53 t_rel= 0.779945s gust_tus=221135283
HOST-M conn#2 seq=54 t_rel= 0.810119s gust_tus=221165399
HOST-M conn#2 seq=55 t_rel= 0.810119s gust_tus=221165468
HOST-M conn#2 seq=56 t_rel= 0.840004s gust_tus=221195255
HOST-M conn#2 seq=57 t_rel= 0.840004s gust_tus=221195307
HOST-M conn#2 seq=58 t_rel= 0.870000s gust_tus=221225249
HOST-M conn#2 seq=59 t_rel= 0.870000s gust_tus=221225302
HOST-M conn#2 seq=60 t_rel= 0.899952s gust_tus=221255231
HOST-M conn#2 seq=61 t_rel= 0.899952s gust_tus=221255282
HOST-M conn#2 seq=62 t_rel= 0.930011s gust_tus=221285284
HOST-M conn#2 seq=63 t_rel= 0.930011s gust_tus=221285331
HOST-M conn#2 seq=64 t_rel= 0.959951s gust_tus=221315231
HOST-M conn#2 seq=65 t_rel= 0.959951s gust_tus=221315280
HOST-M conn#2 seq=66 t_rel= 0.990250s gust_tus=221345539
HOST-M conn#2 seq=67 t_rel= 0.990250s gust_tus=221345576
HOST-M conn#2 seq=68 t_rel= 1.019869s gust_tus=221375140
HOST-M conn#2 seq=69 t_rel= 1.019869s gust_tus=221375175
HOST-M conn#2 seq=70 t_rel= 1.049997s gust_tus=221405280
HOST-M conn#2 seq=71 t_rel= 1.049997s gust_tus=221405332
HOST-M conn#2 seq=72 t_rel= 1.080165s gust_tus=221435368
HOST-M conn#2 seq=73 t_rel= 1.080165s gust_tus=221435421
HOST-M conn#2 seq=74 t_rel= 1.110025s gust_tus=221465292
HOST-M conn#2 seq=75 t_rel= 1.110025s gust_tus=221465343
HOST-M conn#2 seq=76 t_rel= 1.140255s gust_tus=221495506
HOST-M conn#2 seq=77 t_rel= 1.140255s gust_tus=221495559
HOST-M conn#2 seq=78 t_rel= 1.170343s gust_tus=221525535
HOST-M conn#2 seq=79 t_rel= 1.170343s gust_tus=221525586
HOST-M conn#2 seq=80 t_rel= 1.200018s gust_tus=221555280
HOST-M conn#2 seq=81 t_rel= 1.200018s gust_tus=221555332
HOST-M conn#2 seq=82 t_rel= 1.230058s gust_tus=221585263
HOST-M conn#2 seq=83 t_rel= 1.230058s gust_tus=221585320
HOST-M conn#2 seq=84 t_rel= 1.260111s gust_tus=221615365
HOST-M conn#2 seq=85 t_rel= 1.260111s gust_tus=221615403
HOST-M conn#2 seq=86 t_rel= 1.290151s gust_tus=221645327
HOST-M conn#2 seq=87 t_rel= 1.290151s gust_tus=221645380
HOST-M conn#2 seq=88 t_rel= 1.320063s gust_tus=221675286
HOST-M conn#2 seq=89 t_rel= 1.320063s gust_tus=221675340
HOST-M conn#2 seq=90 t_rel= 1.350418s gust_tus=221705417
HOST-M conn#2 seq=91 t_rel= 1.350418s gust_tus=221705471
HOST-M conn#2 seq=92 t_rel= 1.380044s gust_tus=221735274
HOST-M conn#2 seq=93 t_rel= 1.380044s gust_tus=221735330
HOST-M conn#2 seq=94 t_rel= 1.410095s gust_tus=221765305
HOST-M conn#2 seq=95 t_rel= 1.410095s gust_tus=221765359
HOST-M conn#2 seq=96 t_rel= 1.440132s gust_tus=221795331
HOST-M conn#2 seq=97 t_rel= 1.440132s gust_tus=221795384
HOST-M conn#2 seq=98 t_rel= 1.470113s gust_tus=221825324
HOST-M conn#2 seq=99 t_rel= 1.470113s gust_tus=221825379
HOST-SUMMARY conn#2 msgs=100 pairs=50
HOST-SEP   conn#2 intra-pair separation(us): med=0.000us p95=0.000us max=0.000us min=0.000us
HOST-GAP   conn#2 inter-pair arrival gap(ms): med=29.996ms p95=30.422ms max=30.504ms min=29.444ms
receiver exiting
